시,기관명(입력),조례종류,발견조례명,발견기관명,MST
서울특별시,서울특별시,도시계획,서울특별시 도시계획 조례,서울특별시,2116657
서울특별시,서울특별시,건축,서울특별시 건축 조례,서울특별시,2116749
서울특별시,서울특별시,주차,서울특별시 주차장 설치 및 관리 조례,서울특별시,2116611
서울특별시,서울특별시,녹색,서울특별시 녹색건축물 조성 지원 조례,서울특별시,2070489
부산광역시,부산광역시,도시계획,부산광역시 도시계획 조례,부산광역시,2120465
부산광역시,부산광역시,건축,부산광역시 건축 조례,부산광역시,2112259
부산광역시,부산광역시,주차,부산광역시 주차장 설치 및 관리 조례,부산광역시,2120413
부산광역시,부산광역시,녹색,부산광역시 녹색건축물 조성 지원 조례,부산광역시,2008463
인천광역시,인천광역시,도시계획,인천광역시 도시계획 조례,인천광역시,2104535
인천광역시,인천광역시,건축,인천광역시 건축 조례,인천광역시,2084969
인천광역시,인천광역시,주차,인천광역시 주차장 설치 및 관리 조례,인천광역시,2073095
인천광역시,인천광역시,녹색,인천광역시 녹색건축물 조성 지원 조례,인천광역시,1605945
대구광역시,대구광역시,도시계획,대구광역시 도시계획 조례,대구광역시,2128915
대구광역시,대구광역시,건축,대구광역시 건축 조례,대구광역시,2128875
대구광역시,대구광역시,주차,대구광역시 주차장 설치 및 관리 조례,대구광역시,2091151
대구광역시,대구광역시,녹색,대구광역시 녹색건축물 조성 지원 조례,대구광역시,1588895
대전광역시,대전광역시,도시계획,대전광역시 도시계획 조례,대전광역시,2110261
대전광역시,대전광역시,건축,대전광역시 건축 조례,대전광역시,2122111
대전광역시,대전광역시,주차,대전광역시 주차장 조례,대전광역시,2098193
대전광역시,대전광역시,녹색,대전광역시 녹색건축물 조성 지원 조례,대전광역시,1438947
광주광역시,광주광역시,도시계획,광주광역시 도시계획 조례,광주광역시,2084475
광주광역시,광주광역시,건축,광주광역시 건축 조례,광주광역시,2084489
광주광역시,광주광역시,주차,광주광역시 주차장 조례,광주광역시,2084493
광주광역시,광주광역시,녹색,광주광역시 녹색건축물 조성 지원 조례,광주광역시,1909353
울산광역시,울산광역시,도시계획,울산광역시 도시계획 조례,울산광역시,2120867
울산광역시,울산광역시,건축,울산광역시 건축 조례,울산광역시,2081597
울산광역시,울산광역시,주차,울산광역시 주차장 설치 및 관리 조례,울산광역시,2026989
울산광역시,울산광역시,녹색,울산광역시 녹색건축물 조성 지원 조례,울산광역시,1752547
세종특별자치시,세종특별자치시,도시계획,세종특별자치시 도시계획 조례,세종특별자치시,2113473
세종특별자치시,세종특별자치시,건축,세종특별자치시 건축 조례,세종특별자치시,2028315
세종특별자치시,세종특별자치시,주차,세종특별자치시 주차장 설치 및 관리 조례,세종특별자치시,2056965
세종특별자치시,세종특별자치시,녹색,세종특별자치시 녹색건축물 조성 지원 조례,세종특별자치시,1589831
제주특별자치도,제주특별자치도,도시계획,제주특별자치도 도시계획 조례,제주특별자치도,2096577
제주특별자치도,제주특별자치도,건축,제주특별자치도 건축 조례,제주특별자치도,2104835
제주특별자치도,제주특별자치도,주차,제주특별자치도 주차장 설치 및 관리 조례,제주특별자치도,2087981
제주특별자치도,제주특별자치도,녹색,제주특별자치도 녹색건축물 조성 지원 조례,제주특별자치도,2075843
수원시,경기도 수원시,도시계획,수원시 도시계획 조례,경기도 수원시,2102141
수원시,경기도 수원시,건축,수원시 건축 조례,경기도 수원시,2117949
수원시,경기도 수원시,주차,수원시 주차장 조례,경기도 수원시,2054111
수원시,경기도 수원시,녹색,수원시 녹색건축물 조성 지원 조례,경기도 수원시,1930121
용인시,경기도 용인시,도시계획,용인시 도시계획 조례,경기도 용인시,2102461
용인시,경기도 용인시,건축,용인시 건축 조례,경기도 용인시,2047387
용인시,경기도 용인시,주차,용인시 주차장 설치 및 관리 조례,경기도 용인시,2106161
용인시,경기도 용인시,녹색,용인시 녹색건축물 조성 지원 조례,경기도 용인시,1723039
고양시,경기도 고양시,도시계획,고양시 도시계획 조례,경기도 고양시,2086131
고양시,경기도 고양시,건축,고양시 건축 조례,경기도 고양시,2011341
고양시,경기도 고양시,주차,고양시 주차장 설치 및 관리 조례,경기도 고양시,2109927
고양시,경기도 고양시,녹색,고양시 녹색건축물 조성 지원 조례,경기도 고양시,1930259
성남시,경기도 성남시,도시계획,성남시 도시계획 조례,경기도 성남시,2111431
성남시,경기도 성남시,건축,성남시 건축 조례,경기도 성남시,2019919
성남시,경기도 성남시,주차,성남시 주차장 설치 및 관리 운영에 관한 조례,경기도 성남시,2122295
성남시,경기도 성남시,녹색,성남시 녹색건축물 조성 지원 조례,경기도 성남시,2111401
부천시,경기도 부천시,도시계획,부천시 도시계획 조례,경기도 부천시,2109243
부천시,경기도 부천시,건축,부천시 건축 조례,경기도 부천시,2095387
부천시,경기도 부천시,주차,부천시 주차장 설치 및 관리 조례,경기도 부천시,2130259
부천시,경기도 부천시,녹색,부천시 녹색건축물 조성 지원 조례,경기도 부천시,1682121
화성시,경기도 화성시,도시계획,화성시 도시계획 조례,경기도 화성시,2115001
화성시,경기도 화성시,건축,화성시 건축 조례,경기도 화성시,2108305
화성시,경기도 화성시,주차,화성시 주차장 설치 및 관리 조례,경기도 화성시,2124973
화성시,경기도 화성시,녹색,화성시 녹색건축물 조성 지원 조례,경기도 화성시,1985619
안산시,경기도 안산시,도시계획,안산시 도시계획 조례,경기도 안산시,2067975
안산시,경기도 안산시,건축,안산시 건축 조례,경기도 안산시,2126365
안산시,경기도 안산시,주차,안산시 주차장 조례,경기도 안산시,2126431
안산시,경기도 안산시,녹색,안산시 녹색건축물 조성 지원 조례,경기도 안산시,1215319
남양주시,경기도 남양주시,도시계획,남양주시 도시계획 조례,경기도 남양주시,2099095
남양주시,경기도 남양주시,건축,남양주시 건축 조례,경기도 남양주시,2129563
남양주시,경기도 남양주시,주차,남양주시 주차장 조례,경기도 남양주시,2112523
남양주시,경기도 남양주시,녹색,남양주시 녹색건축물 조성 지원 조례,경기도 남양주시,1417201
안양시,경기도 안양시,도시계획,안양시 도시계획 조례,경기도 안양시,2117933
안양시,경기도 안양시,건축,안양시 건축 조례,경기도 안양시,2005099
안양시,경기도 안양시,주차,안양시 주차장 설치 및 관리 조례,경기도 안양시,2102223
안양시,경기도 안양시,녹색,안양시 녹색건축물 조성 지원 조례,경기도 안양시,2005101
평택시,경기도 평택시,도시계획,평택시 도시계획 조례,경기도 평택시,2122835
평택시,경기도 평택시,건축,평택시 건축 조례,경기도 평택시,2019005
평택시,경기도 평택시,주차,평택시 주차장 설치 및 관리 조례,경기도 평택시,2099063
평택시,경기도 평택시,녹색,평택시 녹색건축물 조성 지원 조례,경기도 평택시,1627461
시흥시,경기도 시흥시,도시계획,시흥시 도시계획 조례,경기도 시흥시,2118597
시흥시,경기도 시흥시,건축,시흥시 건축 조례,경기도 시흥시,2128053
시흥시,경기도 시흥시,주차,시흥시 주차장 설치 및 관리 조례,경기도 시흥시,2128143
시흥시,경기도 시흥시,녹색,시흥시 녹색건축물 조성 지원 조례,경기도 시흥시,2077021
파주시,경기도 파주시,도시계획,파주시 도시계획 조례,경기도 파주시,2022815
파주시,경기도 파주시,건축,파주시 건축 조례,경기도 파주시,2022817
파주시,경기도 파주시,주차,파주시 주차장 설치 및 관리 조례,경기도 파주시,2084279
파주시,경기도 파주시,녹색,파주시 녹색건축물 조성 지원 조례,경기도 파주시,2022819
김포시,경기도 김포시,도시계획,김포시 도시계획 조례,경기도 김포시,2036273
김포시,경기도 김포시,건축,김포시 건축조례,경기도 김포시,1978811
김포시,경기도 김포시,주차,김포시 주차장 조례,경기도 김포시,2028079
김포시,경기도 김포시,녹색,김포시 녹색건축물 조성 지원 조례,경기도 김포시,1539613
의정부시,경기도 의정부시,도시계획,의정부시 도시계획 조례,경기도 의정부시,2072835
의정부시,경기도 의정부시,건축,의정부시 건축 조례,경기도 의정부시,2107039
의정부시,경기도 의정부시,주차,의정부시 주차장 설치 및 관리 조례,경기도 의정부시,2107023
의정부시,경기도 의정부시,녹색,의정부시 녹색건축물 조성 지원 조례,경기도 의정부시,1254623
광명시,경기도 광명시,도시계획,광명시 도시계획 조례,경기도 광명시,2095423
